Tweet Id,Tweet URL,Tweet Posted Time (UTC),Tweet Content,Tweet Type,Client,Retweets Received,Likes Received,Tweet Location,Lat,Long,Tweet Language,User Id,Name,Screen Name,User Bio,Verified or Non-Verified,Profile URL,Protected or Non-protected,User Followers,User Following,User Account Creation Date
"""1233417160367779841""",https://twitter.com/MiaFarrow/status/1233417160367779841,28-02-2020 15:42,Harvard epidemiology professor Marc Lipsitch: “I think the likely outcome is that it will ultimately not be containable.” #Coronavirus - The Atlantic https://t.co/hJVGqdsihO,Tweet,Twitter for iPhone,17,20,USA ,,,English,"""33235771""",Mia Farrow,MiaFarrow,“&quot;You can't promote principled anti-corruption action without pissing off corrupt people.&quot; George Kent,Verified,https://twitter.com/MiaFarrow,Non-Protected,391259,1428,19-04-2009 16:10
"""1233417154852216833""",https://twitter.com/SummitCountyHD/status/1233417154852216833,28-02-2020 15:42,"The Summit County Health Department has issued the following statement about the #Coronavirus #COVID19 Outbreak: https://t.co/maWQ4Adb4u

There are NO confirmed cases in Summit County or Utah.
#SummitCountyUT #ParkCity #Coalville #Kamas https://t.co/Cg3VtMjO2R",Tweet,Twitter Web App,0,0,"Park City, UT",,,English,"""783419455049084928""",Summit County Health - Utah,SummitCountyHD,"Promoting and protecting the personal and environmental health of Summit County, Utah, our residents and our guests. Stay healthy, Summit County.",Verified,https://twitter.com/SummitCountyHD,Non-Protected,386,360,04-10-2016 21:32
"""1233417123474571264""",https://twitter.com/thesignalng/status/1233417123474571264,28-02-2020 15:42,"Italian-Nigerian Footballer King Udoh, Contracts #Coronavirus https://t.co/j67qRSIX13 https://t.co/ofN8g8QrSN",Tweet,Twitter Web App,2,3,"Abuja, Nigeria",,,English,"""359017598""",SIGNAL,thesignalng,Politics | Policy | Governance | Citizen + Advocacy Journalism | Social Trends | Only the important news | 📧editor@signalng.com for posts and ads.,Verified,https://twitter.com/thesignalng,Non-Protected,59743,50,20-08-2011 21:59
"""1233417103366950914""",https://twitter.com/CNNnews18/status/1233417103366950914,28-02-2020 15:42,"#CoronavirusOutbreak | We are at a stage now that every country needs to be prepared. San Francisco has declared an emergency without a single case being reported: Dr. K.K. Aggarwal (Sr member of the Indian Medical Association) tells @AnchorAnandN on #TheRightStand

#COVID19 https://t.co/wA4KUn8AuF",Tweet,Twitter Media Studio - LiveCut,1,3,India,,,English,"""6509832""",News18,CNNnews18,"Lightning fast alerts, #BreakingNews from India and the world.",Verified,https://twitter.com/CNNnews18,Non-Protected,4342794,440,01-06-2007 20:31
"""1233417095687393280""",https://twitter.com/catherinegaste/status/1233417095687393280,28-02-2020 15:42,#Coronavirus outbreak: World Health Organization gives latest update on virus . Conférence de l’OMS | LIVE https://t.co/C6SunFRpyS,Tweet,Twitter for iPhone,0,1,"Paris, France",,,English,"""92945903""",Catherine Gasté,catherinegaste,Gd reporter Le Parisien Mes tweets n'engagent que moi Alerte Social &amp;co Pol. RT n'implique pas adhésion Journalism no public relations ❤️Humour British +Columbo,Verified,https://twitter.com/catherinegaste,Non-Protected,22631,11388,27-11-2009 10:46
"""1233417078389886978""",https://twitter.com/dt_next/status/1233417078389886978,28-02-2020 15:42,"Apart from that, several notifications were issued on how one could be affected by coronavirus, what the symptoms were and which preventive measures could be adopted.
#India #Coronavirus

https://t.co/AkUIJlCZNt",Tweet,Twitter Web App,0,0,"Chennai, India",,,English,"""3991108098""",DT Next,dt_next,English language newspaper by the Daily Thanthi Group,Verified,https://twitter.com/dt_next,Non-Protected,5405,408,23-10-2015 12:33
"""1233417047607934978""",https://twitter.com/newslaundry/status/1233417047607934978,28-02-2020 15:41,"Your #DailyDose of news has arrived!

@Memeghnad brings you the latest updates about #Delhi smoulders, #Coronavirus scare, new mini-moon, and more.

Listen up!

https://t.co/htwPR8dUm2",Tweet,Twitter for Android,0,0,,,,English,"""372677761""",newslaundry,newslaundry,"News, Current Affairs and Media Critique | Sabki Dhulai
Subscribe: http://bit.ly/paytokeepnewsfree
Podcast: http://bit.ly/NLPodcasts",Verified,https://twitter.com/newslaundry,Non-Protected,158170,131,13-09-2011 06:32
"""1233417036530888704""",https://twitter.com/TexasJJD/status/1233417036530888704,28-02-2020 15:41,"To keep up with the latest news about #coronavirus #COVID2019, visit @TexasDSHS where you'll find everything you need to know.

https://t.co/yqNjHAYE3C",Tweet,Twitter Web Client,1,3,State of Texas,,,English,"""3684519882""",Texas Juvenile Justice,TexasJJD,The Texas Juvenile Justice Department is dedicated to transforming the lives of troubled youth and making our communities safer.,Verified,https://twitter.com/TexasJJD,Non-Protected,672,206,25-09-2015 19:20
"""1233416930381320198""",https://twitter.com/ANI/status/1233416930381320198,28-02-2020 15:41,"World Health Organisation (WHO): Our epidemiologists have been monitoring the developments continuously, and we have now increased our assessment of the risk of spread and the risk of impact of #COVID19 to very high at a global level. #coronavirus https://t.co/yQrUvXIRpL",Tweet,Twitter Web App,13,55,India,,,English,"""355989081""",ANI,ANI,"Asian News International. Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles https://t.co/PjGRhL4qvg",Verified,https://twitter.com/ANI,Non-Protected,3440302,0,16-08-2011 05:23
"""1233416899825819648""",https://twitter.com/gmanews/status/1233416899825819648,28-02-2020 15:41,JUST IN: World Health Organization (WHO) upgrades global risk of #coronavirus spread to 'very high' | via @AFP https://t.co/IjKMPEie9k,Tweet,TweetDeck,51,75,Philippines,,,English,"""39453212""",GMA News,gmanews,Welcome to the official Twitter account of GMA News in the Philippines.,Verified,https://twitter.com/gmanews,Non-Protected,5534309,711,12-05-2009 07:14
